top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
PureSubstance,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
PureSubstance,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
PureSubstance,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
PureSubstance,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
PureSubstance,,,
,,,SpatialThing
ChemicallyBasicSubstance,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHisRwsbUCtYR1oAAAFDaxL3uHiu9WNa9nCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet ChemicallyBasicSubstance Chlorine)),
ChemicallyBasicSubstance,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
ChemicallyBasicSubstance,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
ChemicallyBasicSubstance,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
ChemicallyBasicSubstance,,,
,,,SpatialThing
Oxide,,,
,Mx4rvVkF6pwpEbGdrcN5Y29ycA,InanimateObject,
Oxide,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViAxJwpEbGdrcN5Y29ycB4rvVim7ZwpEbGdrcN5Y29ycA,(CollectionDifferenceFn TemporalThing BiologicalLivingObject),
Oxide,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
Oxide,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
Oxide,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
Oxide,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
Oxide,,,
,,,SpatialThing
Nonelectrolyte,,,
,Mx4rvVkF6pwpEbGdrcN5Y29ycA,InanimateObject,
Nonelectrolyte,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViAxJwpEbGdrcN5Y29ycB4rvVim7ZwpEbGdrcN5Y29ycA,(CollectionDifferenceFn TemporalThing BiologicalLivingObject),
Nonelectrolyte,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
Nonelectrolyte,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
Nonelectrolyte,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
Nonelectrolyte,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
Nonelectrolyte,,,
,,,SpatialThing
ChemicallyNeutralSubstance,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
ChemicallyNeutralSubstance,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
ChemicallyNeutralSubstance,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
ChemicallyNeutralSubstance,,,
,,,SpatialThing
,,,
,,,
SurfaceRegion-Underspecified,8,,
PartiallyTangible,8,,
Agent-Underspecified,8,,
InanimateObject,4,,
(CollectionDifferenceFn Thing Person),4,,
(CollectionDifferenceFn TemporalThing BiologicalLivingObject),4,,
TangibleStuffCompositionType,1,,
ExistingStuffType,1,,
(CollectionUnionFn (TheSet ChemicallyBasicSubstance Chlorine)),1,,
(CollectionUnionFn (TheSet BiologicalProcess ChemicalInteraction)),1,,
,1,,
